User Language,"Are you a Smart Home Personal Assistant (SPA) user or owner, e.g., Amazon Echo or Google Home?",Which SPA do you use? (Check all that apply) - Selected Choice,Which SPA do you use? (Check all that apply) - Other - Text,How long have you been using it?,Would you consider using it in the future?,Please choose from the following why you would consider owing or buying a smart speaker/assistant in the future: Select all options that apply - Selected Choice,Please choose from the following why you would consider owing or buying a smart speaker/assistant in the future: Select all options that apply - Other - Text,Please choose from the following why you may NOT wish to use a Smart Home Personal Assistants in the future: Select all options that apply - Selected Choice,Please choose from the following why you may NOT wish to use a Smart Home Personal Assistants in the future: Select all options that apply - Other - Text,Age,Employment Status,Gender identity,Highest education level completed,Internet enabled products,Student Status,Technology use at work
EN-GB,Yes,Google Home,,"2 Years
",,,,,,29,Full-Time,Male,Undergraduate degree (BA/BSc/other),"Smart TV (e.g. Samsung, LG, JVC), Games console (e.g. PS4, Xbox one), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home), Smart watch (e.g. Apple watch, Samsung gear, Moto 360, Asus ZenWatch), Video streaming product (e.g. AppleTV, chromecast), Smart kitchen appliances (e.g. Fridge, oven, kettle, scales, vacuum cleaner)",No,more than once a day
EN-GB,Yes,Amazon Echo/Alexa,,"2 Years
",,,,,,26,Unemployed (and job seeking),Female,Undergraduate degree (BA/BSc/other),"Smart TV (e.g. Samsung, LG, JVC), Activity tracker excluding smart watches (e.g. Fitbit, Xiaomi Mi Band, Microsoft band), Connected lights (e.g. Phillips Hue, LIFX, Elgato Avea, Belkin WeMo), Games console (e.g. PS4, Xbox one), Smart watch (e.g. Apple watch, Samsung gear, Moto 360, Asus ZenWatch), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home), Video streaming product (e.g. AppleTV, chromecast), Connected printers (e.g. WiFi), Smart plugs (e.g. Belkin WeMo Insight Switch, Ankuoo NEO PRO Wi-Fi Smart Switch), Smart doorlock and/or doorbell (e.g. August Smartlock, Danalock, Ring smart doorbell), Smart security camera (e.g. Nest Cam, Netatmo, Netgear Arlo), Smart health monitors excluding smart watches (e.g. scales, blood pressure monitors), Grocery ordering (e.g. Amazon dash buttons, Hiku, GeniCan), Smart kitchen appliances (e.g. Fridge, oven, kettle, scales, vacuum cleaner), Smart bluetooth trackers excluding smart watches (e.g. keyrings to identify lost keys such as Tile, Chipolo, Lapa 2)",Yes,about once a day
EN-GB,Yes,Google Home,,1 Year,,,,,,26,Part-Time,Male,Undergraduate degree (BA/BSc/other),"Games console (e.g. PS4, Xbox one), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home), Video streaming product (e.g. AppleTV, chromecast)",Yes,2 or 3 times a week
EN-GB,Yes,Amazon Echo/Alexa,,Less than a year ago,,,,,,50,Full-Time,Female,Secondary education (e.g. GED/GCSE),"Smart Thermostat (e.g. Nest, Hive, tadoi), Activity tracker excluding smart watches (e.g. Fitbit, Xiaomi Mi Band, Microsoft band), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home), Smart watch (e.g. Apple watch, Samsung gear, Moto 360, Asus ZenWatch), Connected printers (e.g. WiFi), Smart health monitors excluding smart watches (e.g. scales, blood pressure monitors), Grocery ordering (e.g. Amazon dash buttons, Hiku, GeniCan)",No,more than once a day
EN-GB,Yes,"Amazon Echo/Alexa,Google Home",,3 Years ,,,,,,56,Full-Time,Male,Secondary education (e.g. GED/GCSE),"Smart smoke monitors and alarms (e.g. Kepler, Birdi)",No,about once a day
EN-GB,Yes,"Amazon Echo/Alexa,Google Home",,3 Years ,,,,,,27,Full-Time,Female,Graduate degree (MA/MSc/MPhil/other),"Smart TV (e.g. Samsung, LG, JVC), Activity tracker excluding smart watches (e.g. Fitbit, Xiaomi Mi Band, Microsoft band), Smart Thermostat (e.g. Nest, Hive, tadoi), Connected lights (e.g. Phillips Hue, LIFX, Elgato Avea, Belkin WeMo), Games console (e.g. PS4, Xbox one), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home), Video streaming product (e.g. AppleTV, chromecast), Smart watch (e.g. Apple watch, Samsung gear, Moto 360, Asus ZenWatch), Connected printers (e.g. WiFi), Smart plugs (e.g. Belkin WeMo Insight Switch, Ankuoo NEO PRO Wi-Fi Smart Switch), Smart doorlock and/or doorbell (e.g. August Smartlock, Danalock, Ring smart doorbell), Grocery ordering (e.g. Amazon dash buttons, Hiku, GeniCan), Smart kitchen appliances (e.g. Fridge, oven, kettle, scales, vacuum cleaner), Smart bluetooth trackers excluding smart watches (e.g. keyrings to identify lost keys such as Tile, Chipolo, Lapa 2)",No,more than once a day
EN-GB,Yes,Amazon Echo/Alexa,,1 Year,,,,,,21,Other,Female,High school diploma/A-levels,"Smart TV (e.g. Samsung, LG, JVC), Games console (e.g. PS4, Xbox one), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home), Grocery ordering (e.g. Amazon dash buttons, Hiku, GeniCan)",Yes,not at all
EN-GB,Yes,Amazon Echo/Alexa,,4 or more years ,,,,,,50,Full-Time,Male,Undergraduate degree (BA/BSc/other),"Games console (e.g. PS4, Xbox one), Smart Thermostat (e.g. Nest, Hive, tadoi), Smart TV (e.g. Samsung, LG, JVC), Smart watch (e.g. Apple watch, Samsung gear, Moto 360, Asus ZenWatch), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home), Video streaming product (e.g. AppleTV, chromecast), Connected printers (e.g. WiFi), Smart doorlock and/or doorbell (e.g. August Smartlock, Danalock, Ring smart doorbell)",No,more than once a day
EN-GB,Yes,Amazon Echo/Alexa,,1 Year,,,,,,20,Unemployed (and job seeking),Male,High school diploma/A-levels,"Connected lights (e.g. Phillips Hue, LIFX, Elgato Avea, Belkin WeMo), Games console (e.g. PS4, Xbox one), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home), Video streaming product (e.g. AppleTV, chromecast)",Yes,not at all
EN-GB,No,,,,Yes,"It provides convenience,It is useful,Just to try it out",,,,19,Unemployed (and job seeking),Male,Technical/community college,"Smart TV (e.g. Samsung, LG, JVC), Activity tracker excluding smart watches (e.g. Fitbit, Xiaomi Mi Band, Microsoft band), Connected lights (e.g. Phillips Hue, LIFX, Elgato Avea, Belkin WeMo), Games console (e.g. PS4, Xbox one), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home), Smart watch (e.g. Apple watch, Samsung gear, Moto 360, Asus ZenWatch), Video streaming product (e.g. AppleTV, chromecast), Connected printers (e.g. WiFi), Smart bluetooth trackers excluding smart watches (e.g. keyrings to identify lost keys such as Tile, Chipolo, Lapa 2)",Yes,4 or 6 times a week
EN-GB,Yes,Amazon Echo/Alexa,,Less than a year ago,,,,,,34,Part-Time,Female,Undergraduate degree (BA/BSc/other),"Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home), Baby camera/monitor (e.g. Withings Smart Baby Monitor, Motorola Baby Monitor Camera), Smart kitchen appliances (e.g. Fridge, oven, kettle, scales, vacuum cleaner)",No,more than once a day
EN-GB,Yes,Google Home,,"2 Years
",,,,,,48,"Not in paid work (e.g. homemaker', 'retired or disabled)",Male,Graduate degree (MA/MSc/MPhil/other),"Games console (e.g. PS4, Xbox one), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home), Video streaming product (e.g. AppleTV, chromecast), Connected printers (e.g. WiFi)",No,more than once a day
EN-GB,Yes,Amazon Echo/Alexa,,3 Years ,,,,,,47,Full-Time,Female,Undergraduate degree (BA/BSc/other),"Activity tracker excluding smart watches (e.g. Fitbit, Xiaomi Mi Band, Microsoft band), Smart Thermostat (e.g. Nest, Hive, tadoi), Connected lights (e.g. Phillips Hue, LIFX, Elgato Avea, Belkin WeMo), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home), Video streaming product (e.g. AppleTV, chromecast), Connected printers (e.g. WiFi), Smart plugs (e.g. Belkin WeMo Insight Switch, Ankuoo NEO PRO Wi-Fi Smart Switch), Smart security camera (e.g. Nest Cam, Netatmo, Netgear Arlo)",No,more than once a day
EN-GB,No,,,,Yes,"It is useful,Just to try it out",,,,20,Other,Male,High school diploma/A-levels,"Games console (e.g. PS4, Xbox one), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home), Connected printers (e.g. WiFi)",Yes,more than once a day
EN-GB,Yes,Google Home,,1 Year,,,,,,20,Unemployed (and job seeking),Male,High school diploma/A-levels,"Activity tracker excluding smart watches (e.g. Fitbit, Xiaomi Mi Band, Microsoft band), Connected lights (e.g. Phillips Hue, LIFX, Elgato Avea, Belkin WeMo), Games console (e.g. PS4, Xbox one), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home)",Yes,not at all
EN-GB,Yes,Amazon Echo/Alexa,,"2 Years
",,,,,,58,"Not in paid work (e.g. homemaker', 'retired or disabled)",Female,Undergraduate degree (BA/BSc/other),"Baby camera/monitor (e.g. Withings Smart Baby Monitor, Motorola Baby Monitor Camera)",Yes,more than once a day
EN-GB,Yes,Amazon Echo/Alexa,,1 Year,,,,,,55,Full-Time,Male,Doctorate degree (PhD/other),"Smart TV (e.g. Samsung, LG, JVC), Activity tracker excluding smart watches (e.g. Fitbit, Xiaomi Mi Band, Microsoft band), Smart Thermostat (e.g. Nest, Hive, tadoi), Connected lights (e.g. Phillips Hue, LIFX, Elgato Avea, Belkin WeMo), Games console (e.g. PS4, Xbox one), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home), Smart watch (e.g. Apple watch, Samsung gear, Moto 360, Asus ZenWatch), Connected printers (e.g. WiFi), Smart plugs (e.g. Belkin WeMo Insight Switch, Ankuoo NEO PRO Wi-Fi Smart Switch), Smart doorlock and/or doorbell (e.g. August Smartlock, Danalock, Ring smart doorbell), Smart security camera (e.g. Nest Cam, Netatmo, Netgear Arlo), Smart kitchen appliances (e.g. Fridge, oven, kettle, scales, vacuum cleaner), Smart bluetooth trackers excluding smart watches (e.g. keyrings to identify lost keys such as Tile, Chipolo, Lapa 2), Smart smoke monitors and alarms (e.g. Kepler, Birdi), Grocery ordering (e.g. Amazon dash buttons, Hiku, GeniCan), Smart health monitors excluding smart watches (e.g. scales, blood pressure monitors)",No,more than once a day
EN-GB,Yes,Amazon Echo/Alexa,,1 Year,,,,,,19,Part-Time,Female,High school diploma/A-levels,"Smart TV (e.g. Samsung, LG, JVC), Games console (e.g. PS4, Xbox one), Connected printers (e.g. WiFi), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home), Smart kitchen appliances (e.g. Fridge, oven, kettle, scales, vacuum cleaner)",Yes,less than once a week
EN-GB,Yes,Amazon Echo/Alexa,,"2 Years
",,,,,,71,"Not in paid work (e.g. homemaker', 'retired or disabled)",Female,Secondary education (e.g. GED/GCSE),"Smart TV (e.g. Samsung, LG, JVC), Smart Thermostat (e.g. Nest, Hive, tadoi), Games console (e.g. PS4, Xbox one), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home)",No,not at all
EN-GB,Yes,Amazon Echo/Alexa,,"2 Years
",,,,,,51,Full-Time,Male,Technical/community college,"Video streaming product (e.g. AppleTV, chromecast)",No,more than once a day
EN-GB,Yes,Amazon Echo/Alexa,,1 Year,,,,,,22,Due to start a new job within the next month,Female,High school diploma/A-levels,"Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home), Smart watch (e.g. Apple watch, Samsung gear, Moto 360, Asus ZenWatch), Games console (e.g. PS4, Xbox one)",Yes,not at all
EN-GB,Yes,Google Home,,"2 Years
",,,,,,53,"Not in paid work (e.g. homemaker', 'retired or disabled)",Female,High school diploma/A-levels,"Activity tracker excluding smart watches (e.g. Fitbit, Xiaomi Mi Band, Microsoft band), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home), Connected printers (e.g. WiFi)",No,not at all
EN-GB,Yes,Amazon Echo/Alexa,,1 Year,,,,,,30,Full-Time,Female,Graduate degree (MA/MSc/MPhil/other),"Smart TV (e.g. Samsung, LG, JVC), Activity tracker excluding smart watches (e.g. Fitbit, Xiaomi Mi Band, Microsoft band), Games console (e.g. PS4, Xbox one), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home)",No,more than once a day
EN-GB,Yes,Google Home,,"2 Years
",,,,,,31,Full-Time,Female,High school diploma/A-levels,"Smart TV (e.g. Samsung, LG, JVC), Activity tracker excluding smart watches (e.g. Fitbit, Xiaomi Mi Band, Microsoft band), Smart Thermostat (e.g. Nest, Hive, tadoi), Games console (e.g. PS4, Xbox one), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home), Smart watch (e.g. Apple watch, Samsung gear, Moto 360, Asus ZenWatch), Video streaming product (e.g. AppleTV, chromecast), Smart plugs (e.g. Belkin WeMo Insight Switch, Ankuoo NEO PRO Wi-Fi Smart Switch)",Yes,2 or 3 times a week
EN-GB,Yes,Amazon Echo/Alexa,,1 Year,,,,,,26,Other,Male,High school diploma/A-levels,"Games console (e.g. PS4, Xbox one), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home), Connected printers (e.g. WiFi)",Yes,not at all
EN-GB,Yes,Amazon Echo/Alexa,,1 Year,,,,,,50,Full-Time,Female,Undergraduate degree (BA/BSc/other),"Smart TV (e.g. Samsung, LG, JVC), Connected lights (e.g. Phillips Hue, LIFX, Elgato Avea, Belkin WeMo), Games console (e.g. PS4, Xbox one), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home), Smart watch (e.g. Apple watch, Samsung gear, Moto 360, Asus ZenWatch), Connected printers (e.g. WiFi), Smart security camera (e.g. Nest Cam, Netatmo, Netgear Arlo)",No,more than once a day
EN-GB,Yes,Google Home,,"2 Years
",,,,,,18,Part-Time,Male,High school diploma/A-levels,"Smart TV (e.g. Samsung, LG, JVC), Activity tracker excluding smart watches (e.g. Fitbit, Xiaomi Mi Band, Microsoft band), Games console (e.g. PS4, Xbox one), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home), Connected printers (e.g. WiFi), Smart kitchen appliances (e.g. Fridge, oven, kettle, scales, vacuum cleaner), Smart bluetooth trackers excluding smart watches (e.g. keyrings to identify lost keys such as Tile, Chipolo, Lapa 2)",Yes,more than once a day
EN-GB,Yes,Amazon Echo/Alexa,,1 Year,,,,,,19,Other,Female,High school diploma/A-levels,"Smart TV (e.g. Samsung, LG, JVC), Connected lights (e.g. Phillips Hue, LIFX, Elgato Avea, Belkin WeMo), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home), Smart watch (e.g. Apple watch, Samsung gear, Moto 360, Asus ZenWatch)",Yes,not at all
EN-GB,Yes,Amazon Echo/Alexa,,1 Year,,,,,,22,Full-Time,Male,Graduate degree (MA/MSc/MPhil/other),"Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home), Connected lights (e.g. Phillips Hue, LIFX, Elgato Avea, Belkin WeMo), Smart doorlock and/or doorbell (e.g. August Smartlock, Danalock, Ring smart doorbell), Smart security camera (e.g. Nest Cam, Netatmo, Netgear Arlo), Games console (e.g. PS4, Xbox one), Smart watch (e.g. Apple watch, Samsung gear, Moto 360, Asus ZenWatch), Smart Thermostat (e.g. Nest, Hive, tadoi), Smart bluetooth trackers excluding smart watches (e.g. keyrings to identify lost keys such as Tile, Chipolo, Lapa 2), Smart TV (e.g. Samsung, LG, JVC)",No,more than once a day
EN-GB,No,,,,Yes,"It provides convenience,It is useful",,,,24,Full-Time,Male,High school diploma/A-levels,"Smart TV (e.g. Samsung, LG, JVC), Games console (e.g. PS4, Xbox one), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home), Smart watch (e.g. Apple watch, Samsung gear, Moto 360, Asus ZenWatch), Video streaming product (e.g. AppleTV, chromecast), Connected printers (e.g. WiFi)",No,more than once a day
EN-GB,Yes,Amazon Echo/Alexa,,"2 Years
",,,,,,50,"Not in paid work (e.g. homemaker', 'retired or disabled)",Female,Technical/community college,"Smart TV (e.g. Samsung, LG, JVC), Activity tracker excluding smart watches (e.g. Fitbit, Xiaomi Mi Band, Microsoft band), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home), Video streaming product (e.g. AppleTV, chromecast), Connected printers (e.g. WiFi), Smart security camera (e.g. Nest Cam, Netatmo, Netgear Arlo), Smart doorlock and/or doorbell (e.g. August Smartlock, Danalock, Ring smart doorbell)",No,not at all
EN-GB,Yes,Google Home,,1 Year,,,,,,41,Full-Time,Male,Graduate degree (MA/MSc/MPhil/other),"Smart TV (e.g. Samsung, LG, JVC), Games console (e.g. PS4, Xbox one), Activity tracker excluding smart watches (e.g. Fitbit, Xiaomi Mi Band, Microsoft band), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home), Smart kitchen appliances (e.g. Fridge, oven, kettle, scales, vacuum cleaner), Smart bluetooth trackers excluding smart watches (e.g. keyrings to identify lost keys such as Tile, Chipolo, Lapa 2), Smart security camera (e.g. Nest Cam, Netatmo, Netgear Arlo)",No,more than once a day
EN-GB,Yes,Amazon Echo/Alexa,,1 Year,,,,,,31,Unemployed (and job seeking),Male,Undergraduate degree (BA/BSc/other),"Smart TV (e.g. Samsung, LG, JVC), Activity tracker excluding smart watches (e.g. Fitbit, Xiaomi Mi Band, Microsoft band), Games console (e.g. PS4, Xbox one), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home), Video streaming product (e.g. AppleTV, chromecast)",No,more than once a day
EN-GB,Yes,Amazon Echo/Alexa,,"2 Years
",,,,,,50,Full-Time,Male,Graduate degree (MA/MSc/MPhil/other),"Smart TV (e.g. Samsung, LG, JVC), Activity tracker excluding smart watches (e.g. Fitbit, Xiaomi Mi Band, Microsoft band), Smart Thermostat (e.g. Nest, Hive, tadoi), Connected lights (e.g. Phillips Hue, LIFX, Elgato Avea, Belkin WeMo), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home), Video streaming product (e.g. AppleTV, chromecast), Connected printers (e.g. WiFi), Smart plugs (e.g. Belkin WeMo Insight Switch, Ankuoo NEO PRO Wi-Fi Smart Switch)",No,about once a day
EN-GB,Yes,Google Home,,"2 Years
",,,,,,19,Full-Time,Male,Technical/community college,"Smart TV (e.g. Samsung, LG, JVC), Games console (e.g. PS4, Xbox one), Connected lights (e.g. Phillips Hue, LIFX, Elgato Avea, Belkin WeMo), Activity tracker excluding smart watches (e.g. Fitbit, Xiaomi Mi Band, Microsoft band), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home), Smart watch (e.g. Apple watch, Samsung gear, Moto 360, Asus ZenWatch), Video streaming product (e.g. AppleTV, chromecast), Connected printers (e.g. WiFi), Baby camera/monitor (e.g. Withings Smart Baby Monitor, Motorola Baby Monitor Camera), Smart health monitors excluding smart watches (e.g. scales, blood pressure monitors)",No,more than once a day
EN-GB,Yes,Amazon Echo/Alexa,,"2 Years
",,,,,,52,"Not in paid work (e.g. homemaker', 'retired or disabled)",Female,Secondary education (e.g. GED/GCSE),"Activity tracker excluding smart watches (e.g. Fitbit, Xiaomi Mi Band, Microsoft band), Smart TV (e.g. Samsung, LG, JVC), Smart Thermostat (e.g. Nest, Hive, tadoi), Connected lights (e.g. Phillips Hue, LIFX, Elgato Avea, Belkin WeMo), Games console (e.g. PS4, Xbox one), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home), Smart watch (e.g. Apple watch, Samsung gear, Moto 360, Asus ZenWatch)",No,not at all
EN-GB,Yes,Amazon Echo/Alexa,,1 Year,,,,,,19,Other,Female,Secondary education (e.g. GED/GCSE),"Games console (e.g. PS4, Xbox one), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home), Smart plugs (e.g. Belkin WeMo Insight Switch, Ankuoo NEO PRO Wi-Fi Smart Switch), Smart kitchen appliances (e.g. Fridge, oven, kettle, scales, vacuum cleaner)",Yes,not at all
EN-GB,Yes,Amazon Echo/Alexa,,"2 Years
",,,,,,20,Unemployed (and job seeking),Male,High school diploma/A-levels,"Games console (e.g. PS4, Xbox one), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home), Connected printers (e.g. WiFi), Activity tracker excluding smart watches (e.g. Fitbit, Xiaomi Mi Band, Microsoft band)",Yes,not at all
EN-GB,Yes,Amazon Echo/Alexa,,Less than a year ago,,,,,,52,Part-Time,Female,Undergraduate degree (BA/BSc/other),"Smart TV (e.g. Samsung, LG, JVC), Activity tracker excluding smart watches (e.g. Fitbit, Xiaomi Mi Band, Microsoft band), Games console (e.g. PS4, Xbox one), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home), Connected printers (e.g. WiFi), Smart doorlock and/or doorbell (e.g. August Smartlock, Danalock, Ring smart doorbell)",No,about once a day
EN-GB,Yes,Google Home,,Less than a year ago,,,,,,25,Full-Time,Male,Graduate degree (MA/MSc/MPhil/other),"Smart TV (e.g. Samsung, LG, JVC), Activity tracker excluding smart watches (e.g. Fitbit, Xiaomi Mi Band, Microsoft band), Smart Thermostat (e.g. Nest, Hive, tadoi), Connected lights (e.g. Phillips Hue, LIFX, Elgato Avea, Belkin WeMo), Games console (e.g. PS4, Xbox one), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home), Smart watch (e.g. Apple watch, Samsung gear, Moto 360, Asus ZenWatch), Video streaming product (e.g. AppleTV, chromecast), Connected printers (e.g. WiFi), Smart plugs (e.g. Belkin WeMo Insight Switch, Ankuoo NEO PRO Wi-Fi Smart Switch), Smart doorlock and/or doorbell (e.g. August Smartlock, Danalock, Ring smart doorbell), Smart security camera (e.g. Nest Cam, Netatmo, Netgear Arlo), Grocery ordering (e.g. Amazon dash buttons, Hiku, GeniCan), Smart smoke monitors and alarms (e.g. Kepler, Birdi), Smart kitchen appliances (e.g. Fridge, oven, kettle, scales, vacuum cleaner), Smart bluetooth trackers excluding smart watches (e.g. keyrings to identify lost keys such as Tile, Chipolo, Lapa 2)",No,more than once a day
EN-GB,Yes,Google Home,,3 Years ,,,,,,31,Full-Time,Male,Technical/community college,"Connected lights (e.g. Phillips Hue, LIFX, Elgato Avea, Belkin WeMo), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home), Video streaming product (e.g. AppleTV, chromecast), Connected printers (e.g. WiFi), Smart security camera (e.g. Nest Cam, Netatmo, Netgear Arlo)",No,more than once a day
EN-GB,Yes,Amazon Echo/Alexa,,Less than a year ago,,,,,,35,Full-Time,Female,Undergraduate degree (BA/BSc/other),"Smart TV (e.g. Samsung, LG, JVC), Games console (e.g. PS4, Xbox one), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home), Connected printers (e.g. WiFi)",Yes,more than once a day
EN-GB,Yes,Amazon Echo/Alexa,,"2 Years
",,,,,,32,Full-Time,Female,Undergraduate degree (BA/BSc/other),"Smart TV (e.g. Samsung, LG, JVC), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home), Smart watch (e.g. Apple watch, Samsung gear, Moto 360, Asus ZenWatch), Video streaming product (e.g. AppleTV, chromecast), Smart doorlock and/or doorbell (e.g. August Smartlock, Danalock, Ring smart doorbell)",No,about once a day
EN-GB,Yes,Amazon Echo/Alexa,,3 Years ,,,,,,31,Full-Time,Female,Undergraduate degree (BA/BSc/other),"Smart TV (e.g. Samsung, LG, JVC), Activity tracker excluding smart watches (e.g. Fitbit, Xiaomi Mi Band, Microsoft band), Connected lights (e.g. Phillips Hue, LIFX, Elgato Avea, Belkin WeMo), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home), Smart watch (e.g. Apple watch, Samsung gear, Moto 360, Asus ZenWatch), Video streaming product (e.g. AppleTV, chromecast), Connected printers (e.g. WiFi), Smart plugs (e.g. Belkin WeMo Insight Switch, Ankuoo NEO PRO Wi-Fi Smart Switch), Smart kitchen appliances (e.g. Fridge, oven, kettle, scales, vacuum cleaner)",No,not at all
EN-GB,Yes,Amazon Echo/Alexa,,Less than a year ago,,,,,,27,"Not in paid work (e.g. homemaker', 'retired or disabled)",Male,High school diploma/A-levels,"Smart TV (e.g. Samsung, LG, JVC), Activity tracker excluding smart watches (e.g. Fitbit, Xiaomi Mi Band, Microsoft band), Connected lights (e.g. Phillips Hue, LIFX, Elgato Avea, Belkin WeMo), Games console (e.g. PS4, Xbox one), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home), Connected printers (e.g. WiFi), Grocery ordering (e.g. Amazon dash buttons, Hiku, GeniCan)",Yes,about once a day
EN-GB,Yes,Google Home,,1 Year,,,,,,27,Part-Time,Female,Graduate degree (MA/MSc/MPhil/other),"Smart TV (e.g. Samsung, LG, JVC), Activity tracker excluding smart watches (e.g. Fitbit, Xiaomi Mi Band, Microsoft band), Games console (e.g. PS4, Xbox one), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home), Smart watch (e.g. Apple watch, Samsung gear, Moto 360, Asus ZenWatch), Connected printers (e.g. WiFi), Smart health monitors excluding smart watches (e.g. scales, blood pressure monitors)",No,2 or 3 times a week
EN-GB,Yes,Google Home,,"2 Years
",,,,,,27,Full-Time,Male,Undergraduate degree (BA/BSc/other),"Smart TV (e.g. Samsung, LG, JVC), Activity tracker excluding smart watches (e.g. Fitbit, Xiaomi Mi Band, Microsoft band), Connected lights (e.g. Phillips Hue, LIFX, Elgato Avea, Belkin WeMo), Games console (e.g. PS4, Xbox one), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home), Smart watch (e.g. Apple watch, Samsung gear, Moto 360, Asus ZenWatch), Connected printers (e.g. WiFi), Smart plugs (e.g. Belkin WeMo Insight Switch, Ankuoo NEO PRO Wi-Fi Smart Switch), Smart security camera (e.g. Nest Cam, Netatmo, Netgear Arlo)",No,more than once a day
EN-GB,No,,,,Yes,"It provides convenience,It is useful,Just to try it out",,,,25,Full-Time,Female,High school diploma/A-levels,"Smart bluetooth trackers excluding smart watches (e.g. keyrings to identify lost keys such as Tile, Chipolo, Lapa 2)",No,more than once a day
EN-GB,Yes,Google Home,,"2 Years
",,,,,,25,Full-Time,Male,Undergraduate degree (BA/BSc/other),"Smart TV (e.g. Samsung, LG, JVC), Activity tracker excluding smart watches (e.g. Fitbit, Xiaomi Mi Band, Microsoft band), Games console (e.g. PS4, Xbox one), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home), Video streaming product (e.g. AppleTV, chromecast), Smart kitchen appliances (e.g. Fridge, oven, kettle, scales, vacuum cleaner)",No,more than once a day
EN-GB,Yes,Amazon Echo/Alexa,,1 Year,,,,,,44,Full-Time,Male,High school diploma/A-levels,"Smart TV (e.g. Samsung, LG, JVC), Games console (e.g. PS4, Xbox one), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home), Video streaming product (e.g. AppleTV, chromecast), Connected printers (e.g. WiFi)",No,more than once a day
EN-GB,Yes,Amazon Echo/Alexa,,"2 Years
",,,,,,24,Part-Time,Male,Undergraduate degree (BA/BSc/other),"Games console (e.g. PS4, Xbox one), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home)",Yes,2 or 3 times a week
EN-GB,No,,,,Yes,"It provides convenience,It is useful,Just to try it out",,,,42,Full-Time,Female,Undergraduate degree (BA/BSc/other),"Activity tracker excluding smart watches (e.g. Fitbit, Xiaomi Mi Band, Microsoft band), Games console (e.g. PS4, Xbox one), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home), Video streaming product (e.g. AppleTV, chromecast), Connected printers (e.g. WiFi), Grocery ordering (e.g. Amazon dash buttons, Hiku, GeniCan)",Yes,more than once a day
EN-GB,Yes,Amazon Echo/Alexa,,"2 Years
",,,,,,48,Full-Time,Female,Undergraduate degree (BA/BSc/other),"Games console (e.g. PS4, Xbox one), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home), Connected printers (e.g. WiFi)",No,4 or 6 times a week
